date,AAPL,ABBV,AMZN,CSCO,CVX,DWDP,INTC,JNJ,JPM,MSFT,ORCL,PEP,PFE,UNH,WFC,WMT,XOM
2015-12-31,101.69680999602,54.965677943256,675.89,25.328529881137,83.601295183469,,32.241456240358,97.388671585742,62.707429004826,52.829106676784,35.404017924635,95.077753490511,29.920599280319,114.29289812074,51.209212130837,58.379766489856,72.52601415998
2016-01-04,101.78376337717,53.453286737187,636.99,24.829514470111,82.56975408016,,31.810946229602,95.264931083873,60.836557656356,52.181597798987,34.793436723088,93.983483909706,29.6147195479,113.146471567,49.843256325287,58.532144346926,72.070109773343
2016-01-05,99.233130863492,53.230603369422,633.79,24.716695775055,83.276034475219,,31.661203617165,95.663132427973,60.941745039918,52.419652533471,34.686379994709,94.63053027053,29.827908452313,113.36021211092,49.824415555555,59.922592292688,72.68418506963
2016-01-06,97.291172017853,53.239881843079,632.65,24.45345215326,79.986254740342,,30.959285121366,95.179602224423,60.061996013765,51.467433595533,34.861563732056,94.659076433508,29.299570732679,112.2040700779,48.872956684103,60.5225801049,72.079413944499
2016-01-07,93.185040130307,53.082147790913,607.94,23.889358677982,77.151839997017,,29.798779874979,94.070327051571,57.63312370243,49.67726199221,34.102434203553,92.841637390604,29.104919993867,108.90080712644,47.478739723955,61.932075282795,70.925696721171
2016-01-08,93.677775956812,51.634705900442,607.05,23.297060528942,76.324748481751,,29.489935736827,93.065342706936,56.342187631444,49.82961702228,33.722869439301,92.499083434874,28.734156681843,107.02571962752,46.687427395222,60.513056488833,69.492854363168
2016-01-11,95.194629383506,49.992416063177,617.74,23.757736867084,75.060878301121,,30.00467596708,92.505964628319,56.256125226712,49.801050454142,34.005109905027,92.717937351035,28.799040261447,106.46222182991,47.186707793113,61.160662381379,68.562437247581
2016-01-12,96.57622199508,50.883149534236,617.89,23.832949330455,76.343334807937,,30.584928590273,93.141190582003,56.380437589103,50.258115544352,34.423604388689,92.8892143289,28.734156681843,109.06597027401,48.383096671078,60.589245417368,69.967367092117
2016-01-13,94.093219888964,48.016101174265,581.81,23.127832486358,75.581295434321,,29.86429226792,91.984510487235,54.831314303921,49.172585955103,33.168120937702,91.823490911072,28.150204465406,106.1221800555,46.847573937942,58.970230686002,70.386054794131
2016-01-14,96.151116576134,51.187152795387,593.0,23.184241833886,79.42866495477,,30.641082069937,93.75745456692,55.653688393586,50.572347793872,33.859123457237,91.166929162589,28.83611659265,107.60864838366,47.704828960735,60.055922917624,73.614602185217
2016-01-15,93.842021232314,53.795295844712,570.18,22.206479810073,77.755895598053,,27.852125913297,91.965548518468,54.54443962148,48.553643645444,33.207050657112,89.378036282663,28.558044108632,106.16104197257,45.990318915148,58.979754302068,72.181759827213
2016-01-19,93.387931352986,51.590570605175,574.48,22.422715642262,75.748572369993,,27.889561566406,92.439597737635,54.515752153236,48.144189502131,33.625545140775,91.128867611952,28.446815115025,109.37686561062,45.41567543833,59.579742114281,71.083867630821
2016-01-20,93.513530681311,53.617041463643,571.77,21.52956763974,73.397402107497,,27.693024387582,90.780425470549,53.08137874103,48.363199857856,33.031866919765,89.225790080117,28.419007866623,111.52398652907,45.095382352891,57.941680150781,68.087924518632
2016-01-21,93.040117828394,54.752240416767,575.02,21.52956763974,75.321086867721,,27.758536780523,90.960564173833,52.832754016247,48.068011987096,33.207050657112,89.891867216259,28.344855204218,110.27068970337,45.227267741013,58.932136221734,68.943908264972
2016-01-22,97.986799067037,55.193185464674,596.38,21.971440862041,77.635084477846,,28.006547982372,91.728523908884,54.458377216747,49.791528264763,33.86885588709,91.204990713226,28.465353280626,111.0770744827,46.178726612465,59.70354912315,71.242038540471
2016-01-25,96.07382468178,55.024312893135,596.53,21.783409703615,75.172396258235,,27.70238330086,91.396689455467,53.22481608225,49.315418795794,33.42116411387,91.290629202158,28.270702541813,110.15410395214,44.897554270708,60.427343944231,68.832258211101
2016-01-26,96.605206455463,54.658422321467,601.25,22.300495389285,78.174087937232,,28.020586352288,95.928599990707,54.582689579139,49.67726199221,34.287350370752,91.652213933207,28.428276949423,110.71760174974,45.46277736266,60.951142827909,71.362992765497
2016-01-27,90.257609631657,53.579514225524,583.35,22.027850209568,77.402755400524,,27.898920479683,96.857736460275,54.54443962148,48.77265400117,33.975912615469,91.290629202158,28.289240707415,109.13397862889,45.754809293502,60.903524747574,70.05110463252
2016-01-28,90.90492924687,52.39740622475,635.35,21.722299577127,79.846857293949,,28.04866309212,96.962027288492,54.773939367433,49.567756814348,34.384674669278,92.727452738694,27.992630057796,108.21100809834,46.084522763807,61.160662381379,71.632813729017
2016-01-29,94.044912454993,51.506134319405,587.0,22.366306294734,80.357981264057,,29.031348986239,99.019400899678,56.896812017497,52.457741290988,35.338452794834,94.487799455642,28.261433459013,111.88345926202,47.318593181235,63.198716219688,72.432972448422
2016-02-01,93.165717156719,51.027662033378,574.81,22.074857999175,79.261388019098,,28.844170720692,98.953034008995,56.284812694956,52.095898094572,35.348185224687,94.230883988844,27.964822809394,112.59268924866,47.045402020125,64.28440845131,70.981521748107
2016-02-02,91.281727231844,50.614862414061,552.1,21.463756734291,75.497656966486,,27.889561566406,98.042859508193,54.534877132065,50.467603710699,34.404139528984,93.450622200792,27.937015560992,110.63987791559,45.999739300014,63.674897023031,69.399812651609
2016-02-03,93.088425262365,53.326205368215,531.07,21.717598798166,78.638746091876,,27.70238330086,98.734971368178,54.898251729824,49.667739802831,34.735042143972,93.93590697141,27.779441153382,109.54202875819,45.194296393983,63.113003675086,73.019135231241
